titulo,autor,origen
obras i estado y derecho,norbert lechner,bidi
del hombre como conejillo de indias el derecho a experimentar en seres humanos,philippe amiel,bidi
chichén itzá la ciudad de los brujos del agua,román piña chan,bidi
yucatán historia breve,sergio quezada,bidi
tres puntos cardinales,rafael solana,bidi
retrato del poeta como joven cuentista,rubén darío,bidi
"ciudades, naciones, regiones los espacios institucionales de la modernindad",ugo pipitone,bidi
de marras prosa reunida,gerardo deniz,bidi
la tradición jurídica romano-canónica,john henry merryman,bidi
mitla su desarrollo cultural e importancia regional,nelly m. robles garcía,bidi
marihuana y salud,juan ramón fuente,bidi
la importancia de las reglas gobierno y empresario después de la nacionalización bancaria,carlos elizondo mayer-serra,bidi
utopía,tomás moro,bidi
"antes de einstein relatividad, luz y gravitación",jean eisenstaedt,bidi
tenochtitlan,eduardo matos moctezuma,bidi
la democracia y sus quimeras diálogo entre un escéptico y un idealista,rossana fuentes-berain,bidi
traductores de la utopía la revolución cubana y la nueva izquierda de nueva york,rafael rojas,bidi
monte albán,joyce marcus,bidi
aire en libertad octavio paz y la crítica,josé antonio aguilar rivera,bidi
palenque-lakamha’ una presencia inmortal del pasado indígena,mercedes de la garza,bidi
metabolismo de las toxinas ambientales,rosario rodríguez,bidi
la política del cambio constitucional en américa latina,gabriel negretto,bidi
jalisco historia breve,josé maría muriá,bidi
sobre el tiempo,norbert elias,bidi
derecho electoral latinoamericano un enfoque comparativo,dieter nohlen; leonardo valdés; daniel zovatto,bidi
oaxaca historia breve,maría de los ángeles romero frizzi,bidi
la política de la incertidumbre sostener y subvertir el autoritarismo electoral,andreas schedler,bidi
del sol a los confines del sistema solar,esperanza carrasco licea; alberto carramiñana alonso,bidi
"la ilustración radical la filosofía y la construcción de la modernidad, 1650-1750",jonathan i. israel,bidi
andrenio perfiles del hombre,alfonso reyes,bidi
marginalia iii tercera serie,alfonso reyes,bidi
quintana roo historia breve,lorena careaga vilesid,bidi
marginalia ii segunda serie,alfonso reyes,bidi
rituales literarios,"weisz, gabriel",bidi
tiempo transcurrido crónicas imaginarias,juan villoro,bidi
novelas escogidas,elena garro,bidi
max weber y la guerra académica de los cien años historia de las ciencias sociales en el siglo xx la polémica en torno a la ética protestante y el espíritu del capitalismo,francisco gil villegas m,bidi
otras sílabas sobre gonzálo rojas,fabienne bradu,bidi
"independientes, ¿de qué? hablan los editores de américa latina",hernán lópez winne,bidi
"el mar de los deseos el caribe afroandaluz, historia y contrapunto",antonio garcía de león,bidi
tula,robert h. cobean,bidi
un banquete canónico,rafael rojas,bidi
cempoala,félix báez-jorge,bidi
"obras iv política y subjetividad, 1995-2003",norbert lechner,bidi
paisaje caprichoso de la literatura rusa antología,selma ancira,bidi
comprender la diversidad institucional,elinor ostrom,bidi
gobernanza y gestión pública,luis f. aguilar villanueva,bidi
guerrero historia breve,carlos illades,bidi
"rutas de incertidumbre ideas alternativas sobre la génesis de la probabilidad, siglos xvi y xvii",leticia mayer celis,bidi
leer el mundo experiencias actuales de transmisión cultural,michèle petit,bidi
mafalda historia social y política,isabella cosse,bidi
"la física en la medicina, ii ojos nuevos para los mismos cuerpos",maría cristina piña barba,bidi
"juicios sobre la elaboración del genocidio, ii",daniel feierstein,bidi
nayarit historia breve,mario contreras valdez,bidi
obras i introducción a las ciencias del espíritu,wilhelm dilthey,bidi
francisco entre lobos el secreto de una revolución,marco politi,bidi
la escuela de fráncfort,rolf wiggershaus,bidi
el burgués entre la historia y la literatura,franco moretti,bidi
la comunicación y los medios metodologías de investigación cualitativa y cuantitativa,klaus bruhn jensen,bidi
"josé revueltas una literatura del ""lado moridor""",evodio escalante,bidi
introducción a la teoría de la probabilidad ii segundo curso,miguel ángel garcía álvarez,bidi
un escritor en la tierra centenario de josé revueltas,edith negrín,bidi
obras x historia de la filosofía,wilhelm dilthey,bidi
los grandes libros para los más pequeños,joëlle turin,bidi
la gran depresión en américa latina,alan knight,bidi
la independencia de la américa española,jaime e. rodriguez o,bidi
"los altos ingresos en francia en el siglo xx desigualdades y redistribuciones, 1901-1998",thomas piketty,bidi
otro siglo perdido las políticas de desarrollo en américa latina,victor l. urquidi,bidi
"la revolución cósmica utopías, regiones y resultados, 1910-1940",alan knight,bidi
evaluador novela,noé jitrik,bidi
teotihuacan,eduardo matos moctezuma,bidi
la cocina mexicana de socorro y fernando del paso,fernando del paso,bidi
los caminos para la libertad ética y educación,fernando savater,bidi
octavio paz y el reino unido,alejandro gonzález ormerod,bidi
baja california historia breve,miguel león-portilla,bidi
el siglo del desencanto,angelina muñiz-huberman,bidi
colima historia breve,josé miguel romero de solís,bidi
"la tríade prenatal cordón, placenta, amnios supervivencia de la magia paleolítica",gutierre tibón,bidi
sonora historia breve,ignacio almada,bidi
"más allá del pueblo imágenes, indicios y políticas del cine",gonzalo aguilar,bidi
obras i narrativa,rosario castellanos,bidi
"controversias sobre la desigualdad argentina, 2003-2013",gabriel kessler,bidi
después de lévi-strauss por una antropología de talla humana,alban bensa,bidi
el gran cocodrilo antología de poemínimos,efraín huerta,bidi
el método en las ciencias epistemología y darwinismo,rosaura ruiz gutiérrez,bidi
"el gran escape salud, riqueza y los orígenes de la desigualdad",angus deaton,bidi
las raíces y las ramas fuentes y derivaciones de la cábala hispanohebrea,angelina muñiz-huberman,bidi
acercamiento a la palabra,lorand gaspar,bidi
"obras completas, xvi religión griega, mitología griega",alfonso reyes,bidi
modernidad líquida,zygmunt bauman,bidi
el pensamiento político de benito juárez,josé c. valadés,bidi
teoría literaria,alfonso reyes,bidi
el español en américa,josé g. moreno de alba,bidi
derecho y análisis económico,josé ramón cossío díaz,bidi
obras iv vida y poesía,wilhelm dilthey,bidi
del aborto a la clonación principios de una bioética liberal,rodolfo vázquez,bidi
"protestantes, liberales y francmasones sociedades de ideas y modernidad en américa latina siglo xix",jean pierre bastian,bidi
tres puntos cardinales,rafael solana,bidi
la globalización desde abajo la otra economía mundial,carlos alba vega,bidi
libros en llamas historia de la interminable destrucción de bibliotecas,lucien x. polastron,bidi
"el viajero, la torre y la larva el lector como metáfora",alberto manguel,bidi
"en suelo incierto, ensayos",eduardo milán,bidi
obras iii democracia y utopía la tensión permanente,norbert lechner,bidi
cuatro ensayos sobre gilberto owen,tomás segovia,bidi
obras viii teoría de la concepción del mundo,wilhelm dilthey,bidi
la lengua florida antología sefardí,angelina muñiz-huberman,bidi
puebla historia breve,leonardo lomelí vanegas,bidi
aventuras de un duende en el mundo de las matemáticas,carlos prieto de castro,bidi
obras,juan josé arreola,bidi
"obras poesía, teatro, prosas varias, crítica",xavier villaurrutia,bidi
"mito y epopeya, iii historias romanas",georges dumézil,bidi
morelos historia breve,alicia hernández chávez,bidi
el ombligo como centro cósmico una contribución a la historia de las religiones,gutierre tibón,bidi
"mito y epopeya, ii tipos épicos indoeuropeos un héroe, un brujo, un rey",georges dumézil,bidi
"obras completas, xv el deslinde, apuntes para la teoría literaria",alfonso reyes,bidi
teoría del estado,hermann heller,bidi
"democracia, otredad, melancolía roger bartra ante la crítica",mabel moraña; ignacio m. sánchez prado,bidi
"dinero, lenguaje y pensamiento la economía literaria y la filosófica, desde la edad media hasta la época moderna",marc shell,bidi
la alternativa perspectivas y posibilidades de cambio,luis villoro,bidi
para leer a georges bataille,georges bataille,bidi
epistolario 1512-1527,nicolás maquiavelo,bidi
ulises y las sirena estudios sobre racionalidad e irracionalidad,jon elster,bidi
economía ecológica y política ambiental,joan martínez alier,bidi
"obras completas, iii el plano oblicuo, el cazador, el suicida, aquellos días, retratos reales e imaginarios",alfonso reyes,bidi
¡hay un dinosaurio en mi sopa! una guía rápida sobre evolución biológica,álvaro chaos cador,bidi
la economía de la literatura,marc shell,bidi
la aventura estridentista historia cultural de una vanguardia,elissa j. rashkin,bidi
obra literaria completa,francisco rojas gonzález,bidi
defensa legal contra delitos ambientales,josé sarukhán,bidi
tinta del exotismo literatura de la otredad,gabriel weisz,bidi
"obras, ii dramaturgia y teoría escénica",héctor azar,bidi
el concepto de ideología y otros ensayos,luis villoro,bidi
"obras, i dramaturgia y teoría escénica",héctor azar,bidi
la mordedura de la risa un estudio sobre la obra gráfica de francisco toledo,verónica volkow,bidi
historia de la estética,raymond bayer,bidi
el proceso de la civilización investigaciones sociogenéticas y psicogenéticas,norbert elias,bidi
"ur, la ciudad de los caldeos",c. leonard woolley,bidi
"historia de la locura en la época clásica, ii",michel foucault,bidi
el desengaño del hombre,santiago felipe puglia,bidi
biología de la mente,ramón de la fuente,bidi
teorías de la lírica,gustavo guerrero,bidi
¡la migra! una historia de la patrulla fronteriza de estados unidos,kelly lytle hernández,bidi
psicología de la enseñanza y desarrollo de personas y comunidades,rosario ortega ruiz,bidi
la santidad controvertida hagiografía y conciencia criolla alrededor de los venerables no canonizados de nueva españa,antonio rubial garcía,bidi
don quijote ¿muere cuerdo? y otras cuestiones cervantinas,margit frenk,bidi
el tlc y la formación de una región - nafta and the building of a region un ensayo desde la prespectiva mexicana - an essay from the mexican perspective,jaime serra puche,bidi
durango historia breve,josé de la cruz pacheco rojas,bidi
poética,josu landa,bidi
chiapas historia breve,emilio zebadúa,bidi
cuentos reunidos,beatriz espejo,bidi
bajo el poder de la caballería,daniel horacio  mazzei,bidi
matemáticas de colores,amanda montejano,bidi
junius maltby y las praderas del cielo,ricardo peláez goycochea,bidi
astrobiología,lilia montoya lorenzana,bidi
los aforismos de kafka,werner hoffman,bidi
alfonso reyes y la historia de américa la argumentación del ensayo histórico un análisis retórico,eugenia houvenaghel,bidi
los contemporáneos ayer,guillermo sheridan,bidi
el poder de la competitividad,luis rubio,bidi
el acertijo de la legitimidad por una democracia eficaz en un entorno de la legalidad y desarrollo,luis rubio,bidi
libertad para el pueblo historia de la democracia,john dunn,bidi
el yo dividido un estudio sobre la salud y la enfermedad,ronald david laing,bidi
los vikingos en la historia,f. donald logan,bidi
tiempo transcurrido crónicas imaginarias,juan villoro,bidi
el capital en el siglo xxi,thomas piketty,bidi
"historia de la locura en la época clásica, i",michel foucault,bidi
muerte a filo de obsidiana los nahuas frente a la muerte,eduardo matos moctezuma,bidi
la era de la criminalidad,federico campbell,bidi
vida y muerte en el templo mayor,eduardo matos moctezuma,bidi
"falsificaciones, derechos y protestas aproximaciones a la china contemporánea",susanne brandtstädter,bidi
el planisferio de morgius cancri eciclopedia universal,ignacio díaz de la serna,bidi
de papel en torno a sus dos mil años de historia,nicholas a. basbanes,bidi
"la lectura, otra revolución",maría teresa andruetto,bidi
"antropología del cerebro conciencia, cultura y libre albedrío",roger bartra,bidi
hegel y la sociedad moderna,charles taylor,bidi
alfabeto del mundo,eugenio montejo,bidi
resistir insistencias sobre el presente poético,eduardo milán,bidi
"vida, pasión y muerte de tenochtitlan",eduardo matos moctezuma,bidi
el amor en tiempos de la contaminación,tessy lópez; aurelí guerra,bidi
obras,manuel gutiérrez nájera,bidi
quetzalcóatl serpiente emplumada,román piña chan,bidi
justicia para erizos,ronald dworkin,bidi
obras,gilberto owen,bidi
el pueblo del sol,alfonso caso,bidi
trayectoria de goethe,alfonso reyes,bidi
biografía del estado moderno,richard howard crossman,bidi
ciencia en teatro cuatro obras,carl djerassi,bidi
"identidad, identificación, imagen",jesús maría cortina izeta,bidi
del hombre como conejillo de indias el derecho a experimentar en seres humanos,philippe amiel,bidi
el otro efraín antología prosística,efraín huerta,bidi
introducción a la teoría de la probabilidad i primer curso,miguel ángel garcía álvarez,bidi
firmamentos perdidos arqueoastronomía las estrellas de los pueblos antiguos,guido cossard,bidi
economía mexicana para desencantados,manuel sánchez gonzález,bidi
teoría de juegos una introducción matemática a la toma de decisiones,pablo amster,bidi
"obras completas, xix los poemas homéricos, la ilíada, la afición de grecia",alfonso reyes,bidi
filosofía de las ciencias,daniel andler,bidi
abstracción y naturaleza una contribución a la psicología del estilo,wilhelm worringer,bidi
el hombre y lo sagrado,roger caillois,bidi
deporte y ocio en el proceso de la civilización,norbert elias,bidi
la soledad de los moribundos,norbert elias,bidi
crítica de la filosofía de las ciencias sociales de max weber,walter garrison runciman,bidi
historia de la literatura alemana,rodolfo e. modern,bidi
naturaleza humana y conducta introducción a la psicología social,john dewey,bidi
respuestas propias 80 años de el trimestre,gustavo del ángel mobarak,bidi
el estudio científico de la felicidad,mariano rojas,bidi
"obras ii poesía, teatro y ensayo",rosario castellanos,bidi
el dhammapada el camino de la verdad,alberto blanco,bidi
economía del bien y del mal la búsqueda del significado económico desde gilgamesh hasta wall street,tomáš sedláček,bidi
desarrollo económico y social en cuba reformas emprendidas y retos en el siglo xxi,jorge i. domínguez,bidi
psiquiatría de las adicciones guía para profesionales de la salud,mario souza y machorro,bidi
introducción a la filosofía moral,james rachels,bidi
historiadores e historiografía de la antigüedad clásica dos aproximaciones,ricardo martínez lacy,bidi
teoría general de la historia del arte,jacques thuillier,bidi
un humanista del siglo xx marcel bataillon,jacques lafaye,bidi
"antología prosa, teatro, poesía",alfonso reyes,bidi
veinte años del tlc su dimensión política y estratégica,luis rubio,bidi
obras vii el mundo histórico,wilhelm dilthey,bidi
el diablo y cervantes,ignacio padilla,bidi
tomar en serio el lenguaje,jay d. white,bidi
práctica y ética de la eutanasia,asunción álvarez del rio,bidi
cómo leer la ciencia para todos géneros discursivos,margarita alegría,bidi
poesía popular hispánica 44 estudios,margit frenk,bidi
entre la voz y el silencio la lectura en tiempos de cervantes,margit frenk,bidi
obras ii hombre y mundo en los siglos xvi y xvii,wilhelm dilthey,bidi
el desarrollo económico de américa latina desde la independencia,luis bértola,bidi
la semiótica teorías del signo y el lenguaje en la historia,mauricio beuchot,bidi
historia de la filosofía del lenguaje,mauricio beuchot,bidi
"¿qué los hace leer así? los niños, la lectura y las bibliotecas",geneviève patte,bidi
cuatro ensayos sobre el quijote,margit frenk,bidi
obras iii de leibniz a goethe,wilhelm dilthey,bidi
el diablo en el agua bendita o el arte de la calumnia de luis xiv a napoleón,robert darnton,bidi
historia de la mafia desde sus orígenes hasta nuestros días,salvatore lupo,bidi
retórica de la religión estudios de logología,kenneth burke,bidi
censores trabajando de cómo los estados dieron forma a la literatura,robert darnton,bidi
"filósofos de la paz y de la guerra kant, clausewitz, marx, engels y tolstoi",w. b. gallie,bidi
la rama dorada magia y religión,sir james george frazer,bidi
obras reunidas iii primeros escritos miscelánea iconografía epistolario,jorge cuesta,bidi
obras reunidas ii ensayos y prosas varias,jorge cuesta,bidi
obra reunida,nellie campobello,bidi
la ruta de hernán cortés,fernando benítez,bidi
"obras completas, i cuestiones estéticas, capítulos de literatura mexicana, varia",alfonso reyes,bidi
políticas sobre el cannabis,robin room,bidi
biblioteca americana una poética de la cultura y una política de la lectura,liliana weinberg,bidi
obras vi psicología y teoría del conocimiento,wilhelm dilthey,bidi
"el higgs, el universo líquido y el gran colisionador de hadrones",gerardo herrera corral,bidi
sobre cultura femenina,rosario castellanos,bidi
genética la continuidad de la vida,ana barahona echeverría,bidi
la ola que regresa,fabio morábito,bidi
cosas de encantamiento,bernal díaz del castillo,bidi
teatro breve,pedro calderón de la barca,bidi
"el círculo de viena empirismo lógico, ciencia, cultura y política",friedrich stadler,bidi
el capital de marx,ben fine,bidi
"el libro y sus orillas_ tipografía, originales, redacción, corrección de estilo y de pruebas",roberto zavala ruiz,bidi
américa en el pensamiento de alfonso reyes,alfonso reyes,bidi
obras i estado y derecho,norbert lechner,bidi
la evolución química del universo,manuel peimbert,bidi
las revoluciones de 1848 selección de artículos de la nueva gaceta renana,carlos marx,bidi
"el imss en el sistema nacional de salud situación actual, retos y propuestas de política",javier dávila torres,bidi
las artes de la ciudad ensayos sobre la cultura visual de la capital,rubén gallo,bidi
retórica cristiana,fray diego valadés,bidi
primero sueño y otros escritos,sor juana inés de la cruz,bidi
los 1001 años de la lengua española,antonio alatorre chávez,bidi
protestantismos y modernidad latinoamericana historia de unas minorías religiosas activas en américa latina,jean pierre bastian,bidi
"obras reunidas, ii",ivan illich,bidi
"obras reunidas, i",ivan illich,bidi
gestión estratégica para el sector público del pensamiento estratégico al cambio organizacional,david arellano,bidi
"puntos de referencia, 1996-2003",enrique gonzález,bidi
vivir del teatro,vicente leñero,bidi
obra filosófica reunida tomo ii,charles sanders peirce,bidi
obra filosófica reunida tomo i,charles sanders peirce,bidi
las corrientes literarias en la américa hispánica,pedro henríquez ureña,bidi
antropología del estado,philip abrams,bidi
historia de la cultura en la américa hispánica,pedro henríquez ureña,bidi
una pedagogía de la integración competencias e integración de los conocimientos en la enseñanza,xavier roegiers,bidi
historia de las doctrinas económicas,eric roll,bidi
de la máquina de vapor al cero absoluto,leopoldo garcía-colín scherer,bidi
introducción a la mecánica cuántica,luis de la peña,bidi
vicente huidobro y el cubismo,susana benko,bidi
"cinco mil años de palabras comentarios sobre el origen, evolución, muerte y resurrección de algunas lenguas",carlos prieto,bidi
la cultura en el mundo de la modernidad líquida,zygmunt bauman,bidi
las formas elementales de la vida religiosa el sistema totémico en australia,émile durkheim,bidi
a tiempo y destiempo antología de ensayos,adolfo sánchez vázquez,bidi
juan pérez jolote biografía de un tzotzil,ricardo pozas,bidi
enfriamiento de átomos por láser,vicente aboites,bidi
el dao en disputa la argumentación filosófica en la china antigua,augus charles graham,bidi
apuntes constitucionales temas destacados de la parte orgánica de la constitución y de nuestro derecho administrativo,juan de dios castro,bidi
"ausentes del universo reflexiones sobre el pensamiento político hispanoamericano en la era de la reconstrucción nacional, 1821-1850",josé antonio aguilar rivera,bidi
desde washington,pedro henríquez ureña,bidi
aventuras de un duende en el mundo de las matemáticas,carlos prieto de castro,bidi
"cosmologías de india védica, samkhya y budista",juan arnau,bidi
economía y sociedad,max weber,bidi
la educación errónea niños preescolares en peligro,david elkind,bidi
"el capital crítica de la economía política, tomo i, libro i el proceso de producción del capital",karl marx,bidi
economía de las asociaciones público-privadas una guía básica,eduardo m. engel,bidi
obras v hegel y el idealismo,wilhelm dilthey,bidi
filosofía del entendimiento,andrés bello,bidi
ecología y evolución de las interacciones bióticas,ek del val,bidi
las aventuras de un violonchelo historias y memorias,carlos prieto,bidi
los materiales nanoestructurados sus propiedades y aplicaciones en la revolución científica y tecnológica del siglo xxi,josé luis morán lopez,bidi
tiburones supervivientes en el tiempo,mario jaime,bidi
obras ix literatura y fantasía,wilhelm dilthey,bidi
el pensamiento moderno filosofía del renacimiento,luis villoro,bidi
rituales literarios,gabriel weisz,bidi
territorios del terror y la otredad,roger bartra,bidi
léxico de afinidades,ida vitale,bidi
surgimiento y auge del neokantismo la filosofía universitaria alemana entre el idealismo y el positivismo,klaus christian köhnke,bidi
la física y la edad de la información,marcelo j. rosenberg,bidi
platon desplatonizado una interpretacion de la lectura straussiana de la filosofia,"donato, oscar mauricio",bidi
historias gorilas represion en la argentina durante los años 1943-1955,"cutillo, irene",bidi
"el mundo de la vida en el trabajo social, la comprension de los sujetos sociales","aguero, juan omar",bidi
montoneros y la memoria del peronismo,"otero, rocio",bidi
"politica, estado y administracion publica en las provincias argentinas 1976-2015 vol 1","cao, horacion y otros",bidi
el lenguaje del sufrimiento estetica y politica en la teroia social de adorno,"prestifilippo, agustin",bidi
"democracias participacion, deliberacion y movimientos sociales","della porta, donatella",bidi
los nombres de lo indecible populismo y violencia como objetos en disputa,"magrini, ana lucia",bidi
expansion de la frontera productiva siglos xix-xxi,"banzato, guillermo / blanco, graciela / perren, joaquin",bidi
las obligaciones fundamentales credito y consolidacion economica durante el surgimiento de bs aires,"wasserman, martin",bidi
historia económica general,max weber,bidi
sindicalismo y futuro del trabajo cambio de epoca y sindicato global,"cortina, ruben",bidi
para animarse a leer agustín de hipona,flavio rapisardi,bidi
para animarse a leer platón,darío sztajnszrajber,bidi
para animarse a leer karl marx,matías rafael romani,bidi
los dilemas de américa latina ante la crisis,montserrat llairó,bidi
juan moreira,eduardo gutiérrez,bidi
don segundo sombra,ricardo güiraldes,bidi
la psicología y su pluralidad,maría elena colombo,bidi
sociedad y estado en un mundo globalizado,pablo agresti y antonio federico,bidi
la trampa neoliberal,agustín salvia,bidi
teoría y práctica del derecho de familia hoy,marisa herrera,bidi
la angustia en la clínica con adolescentes,josé barrionuevo,bidi
infancia y derechos del patronato al abogado del niño,laura rodríguez,bidi
un dios cotidiano,david viñas,bidi
una temporada en el infierno,arthur rimbaud,bidi
el juicio del siglo,joaquín v. gonzález,bidi
la política en tiempos de los kirchner,miguel de luca,bidi
praxis psicosocial comunitaria en salud,graciela zaldúa,bidi
entrelazando ciencias sociedad y ambiente antes de la conquista española,norma ratto,bidi
"salud, familia y vínculos",elsa lópez y liliana  findling,bidi
"ensambles, perspectivas y problemáticas",horacio medina,bidi
el proceso,franz kafka,bidi
el chacho,domingo faustino sarmiento,bidi
el 18 brumario de luis bonaparte,karl marx,bidi
antígona,sófocles,bidi
"cine documental, el una encrucijada estetica y politica","campo, javier",bidi
guillermo facio hebequer entre el campo artistico y la cultura de izquierdas,"deves, magali  andrea",bidi
"jardin zoologico de buenos aires y el patrimonio cultural, el","diaz, marcela liliana",bidi
comenzar con el terror ensayos sobre filosofia y violencia,"campos salvatierra, valeria",bidi
del propio ser al propio querer una dialectica entre el deber y el querer,"vega milone, santiago",bidi
byung-chul han y lo politico,"mavrakis, nicolas",bidi
periodismo instrucciones de uso ensayos sobre una profesion en crisis,"sietecase, reynaldo",bidi
"practicas rebeldes poder, discurso y genero en la teoria social","fraser, nancy",bidi
literatura y biopolitica el rio de la plata como lecho mortuorio,"bonato, rolando javier",bidi
"feminismos del sur recorridos, itinerarios, junturas",mariana alvarado (compiladora),bidi
"mujer y lo femenino, la un discurso disruptivo desde el psicoanalisis de lacan","castelli, maria paula",bidi
"historia y justiciacultura, politica y sociedad en el rio de la plata","barriera, dario",bidi
pandemia al sur,olver quijano valencia y carlos corredor jiménez (compiladores),bidi
contrapedagogías de la crueldad,"segato, rita",bidi
historias de la alimentación,jacques attali,bidi
el retorno de moby dick,françois sarano,bidi
el arte de viajar,manuel mujica láinez,bidi
"el negocio del crimen el crecimiento del delito, los mercados ilegales y la violencia en américa latina",marcelo bergman,bidi
una pérdida eterna la muerte de eva perón y la creación de una comunidad emocional peronista,sandra gayol,bidi
"internet no es lo que pensamos una historia, una filosofía, una advertencia","justin e, h, smith",bidi
"lacan esbozo de una vida, historia de un sistema de pensamiento",élisabeth roudinesco,bidi
playlist música y sexualidad,esteban buch,bidi
puercoespines digitales vivir y nunca morir online,davide sisto,bidi
borges babilónico una enciclopedia,jorge schwartz,bidi
revolución una historia intelectual,enzo traverso,bidi
retratos públicos pintura y fotografía en la construcción de imágenes heroicas en américa latina desde el siglo xix,laura malosetti costa,bidi
aventura y revolución mundial,josé carlos mariategui,bidi
¿para qué necesitamos las obras maestras? escritos sobre arte y filosofía,ricardo ibarlucía,bidi
"atlas de inteligencia artificial poder, política y costos planetarios",kate crawford,bidi
cuentos completos,ezequiel martínez estrada,bidi
narrar por escrito desde un personaje,emilia ferreiro y ana siro,bidi
vudú urbano,edgardo cozaronsky,bidi
la filosofía de la redención,philipp mainländer,bidi
los primeros modernos,laura malosetti costa,bidi
¡cavernícolas!,héctor libertella,bidi
en el ojo de la tormenta,mario rapoport,bidi
irracionalidad una historia del lado oscuro de la razón,justin e. h. smith,bidi
pasaje a oriente,maría sonia cristoff,bidi
crítica cultural entre política y poética,leonor arfuch,bidi
felicidad e inapropiabilidad,"mastromauro, leonardo",bidi
una antropologia del amor de oriente a occidente,"pimenta lobato, josefina",bidi
lenguaje y politica conceptos claves en el rio de la plata ii,"goldman, noemi (ed)",bidi
batallas culturales hegemonia y politica cultural entre nacion y rio negro,"valle, maria ytati",bidi
negacionismo del genocidio armenio una vision desde el presente,"boulgourdjian, nelida elena",bidi
estado y la revolucion,"lenin, vladimir",bidi
pornocultura viaje al centro de la carne,claudia attimonelli,bidi
lluvia y veneno,"portelli, alessandro",bidi
como de la familia afecto y desigualdad en el trabajo domestico,"canevaro, santiago",bidi
"mirada dislocada, la literatura, imagen, territorios","caminada, lucia",bidi
critica a la ciencia,"carpani, ricardo",bidi
catecismos politicos pedagogia civica en tiempos de la revolucion,"duprat, agustina",bidi
juan carlos garavaglia la pasion por la historia,"fradera, josep m",bidi
"maximi et mimimi comunidades rurales, diferenciación social y poder feudal en león","godoy, analia",bidi
"el fraile castañeda, ¿el trompeta de la discordia?","herrero, fabian",bidi
tiempos criticos,"wasserman, fabio",bidi
una grieta de doscientos años conflictos y debates constituyentes en la argentina,"saguir, julio",bidi
la guerra contra las mujeres,"segato, rita",bidi
"estructuras elementales de la violencia, las 2da edicion","segato, rita",bidi
"nacion y sus otros, la raza, etnicidad y diversidad","segato, rita",bidi
"la invención musical ideas de forma, historia y representación",federico monjeau,bidi
abrir el mundo desde el ojo del poema,alicia genovese,bidi
la historia como campo de batalla interpretar las violencias del siglo xx,enzo traverso,bidi
trastornos en la sobremesa literaria textos críticos dispersos,davis viñas,bidi
vivir de viaje,sara gallardo,bidi
hombre en la orilla,miguel briante,bidi
la economía argentina,aldo ferrer,bidi
la contraofensiva el final de montoneros,hernán confino,bidi
la economía política argentina,mónica peralta ramos,bidi
modernidades primitivas,florencia garramuño,bidi
hacia la revolución viajeros argentinos de izquierda,"carlos astrada, elías castelnuovo, norberto frontini, rodolfo ghioldi, bernardo kordon, leopoldo marechal, ezequiel martínez estrada, jorge ricardo masetti, maría rosa oliver, aníbal ponce, enrique raab, león rudnitzky, alfredo varela",bidi
américa latina en la clase de historia,ema cibotti,bidi
los trabajos de la memoria,elizabeth jelin,bidi
el excursionista del planeta escritos de viaje,lucio v. mansilla,bidi
marxismo tardío adorno y la persistencia de la dialéctica,fredric jameson,bidi
las encrucijadas actuales del psicoanálisis subjetividad y vida cotidiana,luis hornstein,bidi
los centauros en los orígenes de la violencia masculina,luigi zoja,bidi
representar el capital una lectura del tomo i,fredric jameson,bidi
viajes de un cosmopolita extremo,rubén darío,bidi
memoria y autobiografía exploraciones en los límites,leonor arfuch,bidi
gramsci o el suicidio de la revolucion,"del noce, augusto",bidi
"voz de los nadies y el ocaraygua, la trazos sobre los actos suicidas","ferreyra, leandro / miretti, jeremias",bidi
"doble rendija, la autofiguraciones cientificas de la literatura en el rio de la plata","martinez, luciana",bidi
un momento arquitectonico en cordoba  1916-1926,"nuñez, maria victoria",bidi
"practica curatorial, un campo de escritura","pacheco, marcelo",bidi
dobles una poetica poscolonial de la diferencia,"escobar negri, matilde belen",bidi
"meditacion, la una contribucion a la psicologia y la espiritualidad","delponte, carlos vicente",bidi
santos y daimones el politeismo afrobrasileño y la tradicion arquetipal,"segato, laura",bidi
respirare caos y poesia,"berfardi, franco bifo",bidi
un sistema de salud de mas calidad,"arce, hugo",bidi
la viajera y sus sombras crónicas de un aprendizaje,victoria ocampo,bidi
el paisaje en las nubes crónicas en el mundo 1937-1942,roberto arlt,bidi
por mano propia,diana cohen agrest,bidi
"sanadores, parteras, curanderos y médicas",diego armus,bidi
"política, derechos y justicia ambiental el conflicto del riachuelo",gabriela merlinsky,bidi
pan y afectos la transformación de las familias,elizabeth jelin,bidi
cambio de dirección escritos en viaje,ezequiel martínez estrada,bidi
ni víctimas ni criminales trabajadoras sexuales una crítica feminista a las políticas contra la trata de personas y la prostitución,marisa tarantino,bidi
los fundamentos retóricos de la sociedad,ernesto laclau,bidi
sexualidades tensiones entre la psiquiatría y los colectivos militantes,silvia di segni,bidi
"en busca de las palabras textos sobre literatura y arte, 1972-2014",oscar del barco,bidi
mediaciones de lo sensible hacia una nueva economía crítica de los dispositivos,luciana cadahia,bidi
"la era de la juventud en argentina cultura, política y sexualidad desde perón hasta videla",valeria manzano,bidi
en breve cárcel,sylvia molloy,bidi
agonística pensar el mundo políticamente,chantal mouffe,bidi
"democracia, hora cero actores, políticas y debates en los inicios de la posdictadura",marina franco y claudia feld,bidi
