titulo,autor,origen
jóvenes en cuestión configuraciones de género y sexualidad en la cultura,silvia elizalde (coord),bidi
no tan distintas mujeres en argentina y canadá en la escena contemporánea,dora barrancos (direct),bidi
"tecnología, comunicación y ciudadanía usos políticos de internet y las tic en la argentina reciente",luis ricardo sandoval,bidi
metodología de las ciencias sociales,esther díaz,bidi
"género y violencia en el mercado del sexo política, policía y prostitución",déborah daich,bidi
"la formación humana desde una perspectiva filosófica inquietud, cuidado de sí y de los otros, autoconocimiento",andrea díaz genis,bidi
"xul solar entrevistas, artículos y téxtos inéditos",xul solar,bidi
nietzsche y la medicina un libro para médicos y no médicos,esteban rubinstein,bidi
medicina e historia,adriana amante,bidi
confesiones de un comprimido,valeria beruto,bidi
la ruta del sueño,stella maris valiensi,bidi
dejar de fumar,karina bakalar,bidi
medicina vascular,"antonio freixas, fernando vázquez",bidi
los nuevos enfermos,esteban rubinstein,bidi
manual para la prevención de caídas de personas mayores,fabiana giber,bidi
los informes médicos estrategias para favorecer su comprensión,rosa estopà,bidi
medicina respiratoria de todos los días,diego andresik; juan precerutti,bidi
"foco familia, orientación y contexto","paula carrete, judith estremero, adriana goldman, mercedes mutchinick y esteban rubinstein",bidi
las preguntas de la embarazada,gustavo hernán izbizky ; mario sebastiani ; laura mercanzini ; maría fernanda lage,bidi
factores de riesgo cardiovascular un abordaje desde la toma de decisiones compartidas,"esteban rubinstein, karin kopitowski, mercedes mutchinick",bidi
complicaciones de la cirugía abdominal,juan pekolj,bidi
manual para cuidadores de personas con alzheimer y otras demencias,mariela gonzález salvia,bidi
el libro azulado problemas de salud de instalación reciente,"miguel zárate, paula carrete, esteban rubinstein",bidi
medicina interna de todos los días,servicio de clínica médica,bidi
columna vertebral,gastón camino willhuber;gonzalo kido; matías petracchi;marcelo gruenberg;carlos sosa,bidi
cáncer colorrectal 3ª edición,"carlos a. vaccaro, nadia c. peralta",bidi
primer diccionario de medicina ilustrado,rosa estopà,bidi
del nacimiento a los primeros pasos,"ernesto lupo, pablo mohr, valeria mülli, diana rodriguez",bidi
obesidad cómo cambiar la historia,"irene ventriglia, elena chimirri, tamara lareu, diego fernández",bidi
cirugía es mucho más que operar,juan pekolj,bidi
"los cuidados de la piel, el pelo y las uñas en el paciente con cáncer",maría del carmen gonzález ramos,bidi
enfermedad renal crónica,carlos g. musso,bidi
obesidad otra mirada,"irene ventriglia, elena chimirri, diego fernández, tamara lareu",bidi
pequeños gajos del oficio médico,coti funes,bidi
clínica imaginaria 2a edición,esteban rubinstein,bidi
el clown en el hospital una sonrisa el fin de semana,mariana ramos;ignacio usandivaras,bidi
heidegger y la medicina,esteban rubinstein,bidi
las implicancias afectivas de la prematurez,gabriela a. pose,bidi
cine expandido,gene youngblood,bidi
"entre la academia y la crítica la construcción discursiva y disciplinar de la historia del arte, argentina siglo xx","sandra szir, maría amalia garcía, editoras",bidi
"alegato juicio esma iii 30, 31 de marzo y 4 de abril de 2016 querella justicia ya",colectivo justicia ya,bidi
los mil pequeños sexos intervenciones críticas sobre políticas de género y sexualidades,"mariano lópez seoane, compilador",bidi
merecer la ciudad los pobres y el derecho al espacio urbano,oscar oszlak,bidi
episodios críticos de la modernidad latinoamericana,valentín díaz,bidi
saberes subalternos en américa latina,"leonel cherri, valentín díaz, mariano lópez seoane, editores",bidi
américa latina global estudios generales sobre paradiplomacia,"mariano alvarez, mariana luna pont, nahuel oddone,compiladores",bidi
"migración, ambiente y cambio climático estudios de caso en argentina",roberto salvador aruj,bidi
hogar dulce hogar,"florencia battiti, fernando farina, vilma paura",bidi
"incomodar la mirada museos, artes visuales y memoria",m. guillermina fressoli,bidi
fundamentos de nutrición normal,laura beatriz lópez y marta maría suárez,bidi
alimentación y deporte guía práctica,marcia onzari,bidi
fundamentos de nutrición en el deporte,marcia onzari,bidi
anatomía odontológica funcional y aplicada,mario eduardo figún y ricardo rodolfo garino,bidi
rehabilitación cognitiva de la teoría a la práctica profesional,"teresa torralva, catalina raimondi, maría roca",bidi
técnica dietoterápica,"elisabet navarro, elsa longo y andrea f. gonzález",bidi
aspectos críticos de las ciencias sociales,rodolfo gaeta,bidi
nunca más,comisión nacional por la desaparición de personas (conadep),bidi
derechos humanos y garantías,eduardo ángel russo,bidi
las fuentes del derecho internacional en la era de la globalización,mónica pinto,bidi
los cambios en la cultura académica de la universidad pública,judith naidorf,bidi
"ciencia, tecnología y universidad en iberoamérica","mario albornoz, cerezo lópez  y josé antonio",bidi
la estructura académica argentina,guillermo ruiz,bidi
enunciación,maría isabel filinich,bidi
problemas actuales en derechos humanos,sebastián rey,bidi
aspectos críticos de las ciencias sociales,"rodolfo gaeta, nélida gentile y susana lucero",bidi
descubrimiento y creatividad en la ciencia,gregorio klimovsky y féliz gustavo schuster (compiladores),bidi
políticas lingüísticas e inmigración el caso argentino,ángela lucía di tullio,bidi
comunicar y educar en el mundo que viene,roberto aparici,bidi
contenidos docentes de vanguardia,aa. vv,bidi
nueva enseñanza superior a partir de las tic,aa. vv,bidi
cultura digital y las nuevas políticas educativas,aa. vv,bidi
los contenidos de humanidades como lectura multidisciplinar,aa. vv,bidi
"nuevas aportaciones sociológicas género, psicología y sociedad",aa. vv,bidi
el aprendizaje basado en problemas,genoveva sastre,bidi
estrategias de comunicación en redes sociales,aa. vv,bidi
trucos del oficio de investigador,"guinea-martin, daniel",bidi
7 retos para la educación social,anna forés,bidi
contenidos universitarios innovadores,aa. vv,bidi
"los nuevos retos en ciencias sociales, artes y humanidades",aa. vv,bidi
investigando en contenidos de vanguardia,aa. vv,bidi
la investigación actual y sus retos multidisciplinares,aa. vv,bidi
el arte de la negociación,"r. luchi, a. zamprile, n. luzuriaga",bidi
el salto del dueño,paula molinari,bidi
el lado oscuro de la econometria,"sosa escudero, walter",bidi
el poder de la resiliencia,"sheffi, yossi",bidi
el poder de los pares,"shapiro, león; bottary, leo",bidi
¿cómo hacemos?,"hatum, andrés",bidi
equilibrio verde,"sheffi, yossi",bidi
agilidad en 4 estaciones,"jajamovich, melina",bidi
feedback consciente,gabriel paradiso,bidi
crisis cambio,jonatan loidi,bidi
la co-creacion,"ramaswamy,venkat; gouillart, francis",bidi
el futuro del talento,andrés hatum,bidi
futuro imperfecto,"alejandro marchionna faré, eugenio marchioni",bidi
más allá de la economía verde,ricardo abramovay,bidi
yrrupción,andrés hatum,bidi
los 7 mitos capitales,"mascó, alejandro",bidi
las finanzas en la empresa,"fraile, guillermo; preve lorenzo; sarria allende, virginia",bidi
liderazgo intuitivo,"rienzi,lorena; de la morena, alexia",bidi
viví tu sueño,"barragué, belu",bidi
la potencia del talento no mirado,"carlos march, andrea vulcano",bidi
innovacion por dentro,alfredo calvelo,bidi
género y sexualidad en la policía bonaerense,sabrina calandrón,bidi
"homosexualidad, familia y reivindicaciones de la liberación sexual al matrimonio igualitario",guido vespucci,bidi
la sociología tal como se escribe de bourdieu a latour,jean-louis fabiani,bidi
la solidaridad en tiempos del agronegocio,maría soledad córdoba,bidi
"feminismo, género y transgénero breve historia desde el siglo xix hasta nuestros días",vanesa vazquez laba,bidi
la herencia beauvoir,el colegio de méxico,bidi
y si hablas de…sde tu ser hombre?,juan guillermo figueroa,bidi
formas reales de la dominación del estado,alejandro agudo sanchíz,bidi
sociología de la educación,ana maría brígido,bidi
metodología de la investigación jurídica,guillermo lariguet,bidi
biología humana,raquel murialdo,bidi
acompañando a simone de beauvoir,sami naïr,bidi
el género y nuestros cerebros,gina rippon,bidi
para escribir hay que leer,vanni santoni,bidi
la fuerza de las mujeres,denis mukwege,bidi
lenguaje inclusivo y esi en las aulas,carolina tosi,bidi
enseñar hoy,andrea alliaud,bidi
las tareas pendientes,agustín porres,bidi
hacer memoria aportes de la neuropsicología al aprendizaje,karina solcoff,bidi
leer a comenio,camilloni  alicia,bidi
recuperar la pedagogía de lugares comunes a conceptos claves,phillipe meirieu,bidi
motivaciones y valores de la educación,manuel pérez rocha,bidi
enséñale a aprender,maría luisa ferrerós,bidi
guía práctica para estudiar en el extranjero,montserrat oliveras,bidi
"navegar entre culturas educación, comunicación y ciudadanía digital",silvia bacher,bidi
la evaluación como oportunidad,anijovich  rebeca,bidi
reinventar la clase en la universidad,mariana maggio,bidi
el colapso de la educación,mariano narodowski,bidi
todo lo que necesitás saber sobre la reforma universitaria,natalia bustelo,bidi
escritos para enseñar,carolina tosi,bidi
neurociencias y educación,"ferreres, aldo rodolfo",bidi
la aventura diferente,cintia fritz,bidi
artes visuales,armando dilon,bidi
universidad 20,rafael rangel sostmann,bidi
la economía del bien común,jean tirole,bidi
la tierra elegida,forn  juan,bidi
economía feminista,mercedes d'alessandro,bidi
macroeconomía argentina,lucas llach,bidi
la guerra de las imágenes,gustavo varela,bidi
guillermo roux en sus propias palabras,maría paula zacharías,bidi
metodología de la investigación científica,rubén pérez,bidi
maestras antiguas,griselda pollock,bidi
avances de la lingüística y su aplicación didáctica,andrea ariño bizarro,bidi
casos de investigación,gemma garcia,bidi
cómo hacer un proyecto de investigación,raúl tafur,bidi
neuroproceso de la enseñanza y del aprendizaje,manuel izaguirre,bidi
gestión del conocimiento,juan gabriel cegarra,bidi
"nuevos pensamientos, nuevos lenguajes desde la perspectiva de género para nuevas realidades",esther mena rodríguez,bidi
los retos educativos de la enseñanza del siglo xxi,francisco javier hinojo lucena,bidi
investigación e innovación sobre metodologías activas en educación,inmaculada aznar díaz,bidi
realidades educativas a través de la investigación y la innovación,josé maría romero rodríguez,bidi
gestión estratégica para instituciones educativas,juan manuel manes,bidi
administración aprender y actuar,enrique g. herrscher,bidi
contabilidad e inflación,santiago lazzati,bidi
la debilidad de creer,michel de certeau,bidi
antropología de la imagen,hans belting,bidi
el discurso filosófico de la modernidad,jürgen habermas,bidi
una sociología de la globlalización,saskia sassen,bidi
convidar tecnología,paula peyloubet,bidi
investigacion y tesis en disciplinas proyectuales,ana cravino,bidi
tecnología y proyecto,arnoldo gaite,bidi
investigación y conocimiento,jorge sarquis,bidi
investigacion y proyecto,fernando aliata,bidi
