title,author,isbn,origen
Bioquímica,"Christopher K. Mathews, K. E. van Holde y Kevin G. Ahern",9788483226940,bidi
Introducción al comportamiento organizativo,Stephen P. Robbins,9788483229545,bidi
INTRODUCCION AL MARKETING,ARMASTRONG,9788490354445,bidi
Macroeconomía,Olivier Blanchard,9788490355367,bidi
Anatomía humana. 9na edición,MARTINI,9788490355725,bidi
MICROECONOMIA,PINDYCK,9788490355756,bidi
Introducción a la administración de la organizaciones,César A. Bernal Torres,9789586992886,bidi
Investigación de mercados,Naresh Malhotra,9786073235594,bidi
Física para cursos con enfoque por competencias,Francis W. Sears,9786073223430,bidi
Física para Ciencias e Ingeniería. 4ª edición,Douglas Giancoli,9786074425567,bidi
Elementos de ingeniería de las reacciones químicas,Fogler H Scott,9786074427479,bidi
CUIDADOS DE ENFERMERIA EN SALUD MENTAL,Eby,9788483227466,bidi
Enfermería medico quirúrgica,Priscilla Lemone y Karen Burke,9788483227596,bidi
Farmacología para enfermería. Un enfoque fisiopatológico,"Michael Patrick Adams, Leland Norman Holland y Paula Manuel Bostwick",9788483227602,bidi
Enfermería Medicoquirúrgica,Pricislla LeMone y Karen Burke,9788483227855,bidi
El mundo de la célula,Wayne M. Becker,9788483228517,bidi
Brock: Biología de los microorganismos,Michael T. Madigan,9788490352809,bidi
La ciencia de los alimentos en la práctica,Salvador Badui Dergal,9786073232814,bidi
Física universitaria con física moderna 1,Young,9786073244411,bidi
Física universitaria con física moderna 2,Young,9786073244428,bidi
Química inorgánica,Catherine E. Housecroft,9788483225448,bidi
Química general: Principios y aplicaciones modernas,Ralph H. Petrucci,9788490355343,bidi
HABILIDADES PARA ENFERMERIA CL INICA,Smith,9788490355701,bidi
HABILIDADES PARA ENFERMERIA CL INICA,Smith,9788490355718,bidi
FISIOLOGIA HUMANA,Marieb / Keller,9788490355732,bidi
Introducción a la fisicoquímica: termodinámica,Thomas Engel y Philip Reid,9789702614180,bidi
Fundamentos de Biología,Scott Freeman,9788490354780,bidi
Química,Theodore L. Brown,9786073222358,bidi
Química de Brown para cursos con efoque por competencias,Theodore L. Brown,9786073223409,bidi
Química orgánica:,Leroy G. Wade,9786073238489,bidi
Química orgánica:,Leroy G. Wade,9786073238502,bidi
Química Física,Thomas Engel y Philip Reid,9788483226995,bidi
Autonomía y dependencia académica,Fernanda Beigel,9789507868474,bidi
Metodologías cualitativas: modelos y procedimientos de análisis,Ana Lía Kornblit,9789873421310,bidi
¿Cómo trabajar con TIC en el aula?: Una guía para la acción pedagógica,Mariano Ávalos,9789876910187,bidi
Jóvenes en cuestión: Configuraciones de género y sexualidad en la cultura,Silvia Elizalde (Coord),9789876910965,bidi
No tan distintas: mujeres en Argentina y Canadá en la escena contemporánea,Dora Barrancos (Direct),9789876911252,bidi
"Tecnología, comunicación y ciudadanía: Usos políticos de Internet y las TIC en la Argentina reciente",Luis Ricardo Sandoval,9789876911467,bidi
Metodología de las ciencias sociales,Esther Díaz,9789876911696,bidi
"Género y violencia en el mercado del sexo. Política, policía y prostitución",Déborah Daich,9789876914307,bidi
"La formación humana desde una perspectiva filosófica. Inquietud, cuidado de sí y de los otros, autoconocimiento",Andrea Díaz Genis,9789876915007,bidi
"Xul Solar: Entrevistas, artículos y téxtos inéditos",Xul Solar,9789500532457,bidi
Nietzsche y la medicina: un libro para médicos y no médicos,Esteban Rubinstein,9789871639755,bidi
Medicina e historia,Adriana Amante,9789878349015,bidi
Confesiones de un comprimido,Valeria Beruto,9789878349022,bidi
La ruta del sueño,Stella Maris Valiensi,9789878349039,bidi
Dejar de fumar,Karina Bakalar,9789878349046,bidi
Medicina vascular,"Antonio Freixas, Fernando Vázquez",9789878349053,bidi
Los nuevos enfermos,Esteban Rubinstein,9789878349060,bidi
Manual para la prevención de caídas de personas mayores,Fabiana GIBER,9789878349077,bidi
Los informes médicos: estrategias para favorecer su comprensión,Rosa Estopà,9789878349138,bidi
Medicina respiratoria de todos los días,Diego Andresik; Juan Precerutti,9789878349145,bidi
"FOCO Familia, orientación y contexto","Paula Carrete, Judith Estremero, Adriana Goldman, Mercedes Mutchinick y Esteban Rubinstein",9789871639694,bidi
Las preguntas de la embarazada,Gustavo Hernán Izbizky ; Mario Sebastiani ; Laura Mercanzini ; María Fernanda Lage,9789878349084,bidi
Factores de riesgo cardiovascular: un abordaje desde la toma de decisiones compartidas,"Esteban Rubinstein, Karin Kopitowski, Mercedes Mutchinick",9789878349091,bidi
Complicaciones de la cirugía abdominal,Juan Pekolj,9789878349107,bidi
Manual para cuidadores de personas con Alzheimer y otras demencias,Mariela González Salvia,9789878349152,bidi
El libro azulado: problemas de salud de instalación reciente,"Miguel Zárate, Paula Carrete, Esteban Rubinstein",9789878349169,bidi
Medicina interna de todos los días,Servicio de Clínica Médica,9789878349213,bidi
