title,author,isbn,origen
Handbook of transducers.,"Norton, Harry N.",9780133825992.0,koha
The adrenal cortex.,"Vinson, Gavin P.",9780133951530.0,koha_consulta
Introducción a la mecánica de los fluidos.,"John, James E. A.",9780134876290.0,koha
Fundamentals of statistical signal processing :,"Kay, Steven M.",9780135041352.0,koha
Continuos and discrete signals and systems.,"Soliman, Samir S.",9780135184738.0,koha_consulta
Intro to Python® :,"Deitel, Paul J.",9780135404676.0,koha_consulta
Intro to Python® :,"Deitel, Paul J.",9780135404676.0,koha
Medical imaging systems.,"Macovski, Albert",9780135726853.0,koha
Modern electronic intrumentation and measurement techniques.,"Helfrick, Albert D.",9780135933855.0,koha_consulta
Neural networks and fuzzy systems :,"Kosko, Bart",9780136114352.0,koha_consulta
C++ :,"Deitel, Paul J.",9780136117261.0,koha_consulta
C++ :,"Deitel, Paul J.",9780136117261.0,koha
Nuevo diccionario Cuyás :,"Cuyás, Antonio",9780136117568.0,koha
Object-oriented software development :,"Lorenz, Mark",9780137269280.0,koha
Moderns signals and systems.,"Kwakernaak, Huibert",9780138092528.0,koha
Signals and systems.,"Oppenheim, Alan V.",9780138097318.0,koha
"Signal processing, image processing and pattern recognition.","Banks, Stephen",9780138125790.0,koha
Theory and application of digital signal processing.,"Rabiner, Lawrence R.",9780139141010.0,koha_consulta
New Headway english course :,"Soars, Liz",9780194358002.0,koha
New Headway english course :,"Soars, Liz",9780194358033.0,koha
English in basic medical science.,"Maclean, Joan",9780194375153.0,koha
New Headway english course :,"Soars, Liz",9780194702232.0,koha
New Headway english course :,"Soars, Liz",9780194702249.0,koha
Drug testing :,"Coombs, Robert H.",9780195054149.0,koha_consulta
Chaos nonlinear dynamics :,"Hilborn, Robert C.",9780195057607.0,koha
Tissue engineering :,"Saltzman, W. Mark",9780195141306.0,koha_consulta
Non-linear time series :,"Tong, Howell",9780198523000.0,koha
The mathematics of diffusion.,"Crank, J.",9780198534112.0,koha
Nonlinear ordinary differential equations.,"Jordán, D. W.",9780198596561.0,koha
Nonlinear ordinary differential equations.,"Jordán, D. W.",9780198596561.0,koha_consulta
Introduction to bioinformatics.,"Lesk, Arthur M.",9780199208043.0,koha
Física: :,"Alonso, Marcelo",9780201002799.0,koha_consulta
Física: :,"Alonso, Marcelo",9780201002799.0,koha
Física: :,"Alonso, Marcelo",9780201002805.0,koha
Física: :,"Alonso, Marcelo",9780201002805.0,koha_consulta
Física: :,"Alonso, Marcelo",9780201002812.0,koha
Optica.,"Hecht, Eugene",9780201028393.0,koha
Algebra lineal y sus aplicaciones.,"Strang, Gilbert",9780201072655.0,koha_consulta
Algebra lineal y sus aplicaciones.,"Strang, Gilbert",9780201072655.0,koha
La aventura del trabajo intelectual :,"Zubizarreta, Armando F.",9780201089905.0,koha
Elements of materials science and engineering.,"Van Vlack, Lawrence H.",9780201093148.0,koha_consulta
Introduction to robotics :,"Craig, John J.",9780201095289.0,koha
Introduction to robotics :,"Craig, John J.",9780201095289.0,koha_consulta
"Signals, systems, and transforms.","Jackson, Leland B.",9780201095890.0,koha_consulta
Adaptive control of mechanical manipulators.,"Craig, John J.",9780201104905.0,koha
Building expert systems.,"Hayes-Roth, Frederick",9780201106862.0,koha
Safeware :,"Levenson, Nancy G.",9780201119725.0,koha
Computer graphics :,"Foley, James D.",9780201121100.0,koha
Computer graphics.,"Angel, Edward",9780201135480.0,koha
"Genetic algorithms in search, optimization, and machine learning.","Goldberg, David E.",9780201157673.0,koha
Logic programming and knowledge engineering.,"Amble, Tore",9780201180435.0,koha
Digital image processing.,"Gonzalez, Rafael C.",9780201180756.0,koha
Mathematica© :,"Wolfram, Stephen",9780201515077.0,koha
Probabilidad  y aplicaciones estadísticas.,"Meyer, Paul L.",9780201518771.0,koha_consulta
Probabilidad  y aplicaciones estadísticas.,"Meyer, Paul L.",9780201518771.0,koha
Exploring mathematics with Mathematica :,"Gray, Theodore W.",9780201528183.0,koha
Software engineering.,"Sommerville, Ian",9780201565294.0,koha
Programación de gráficos en Turbo C++.,"Ezzell, Ben",9780201601145.0,koha
Señales y sistemas: :,"Meade, M. L.",9780201601381.0,koha_consulta
Pc interrupts :,"Brown, Ralf",9780201624854.0,koha
Tratamiento digital de imágenes / ,"Gonzalez, Rafael C.",9780201625769.0,koha
Compiladores :,"Aho, Alfred V.",9780201629033.0,koha_consulta
Química orgánica.,"Morrison, Robert Thornton",9780201629323.0,koha
Cálculo vectorial.,"Marsden, Jerrold E.",9780201629354.0,koha
UNIX :,"Leach, George W.",9780201631159.0,koha
Física universitaria.,"Sears, Francis W.",9780201640137.0,koha
Estructuras de datos y algoritmos.,"Aho, Alfred V.",9780201640243.0,koha_consulta
UNIX Programación avanzada.,"Márquez García, Francisco Manuel",9780201641813.0,koha
Probabilidad y estadística.,"Degroot, Morris H.",9780201644050.0,koha_consulta
Sistemas modernos de control.,"Dorf, Richard C.",9780201644173.0,koha
Química: :,"Mahan, Bruce M.",9780201644197.0,koha
Control de sistemas dinámicos con retroalimentación.,"Franklin, Gene F.",9780201644210.0,koha
Complex variables with applications.,"Wunsch, A. David",9780201756098.0,koha
Programming in Mathematica®.,"Maeder, Roman E.",9780201854497.0,koha
Introduction to expert systems.,"Jackson, Peter",9780201876864.0,koha
Learning and physiological regulation.,"Dworkin, Barry R.",9780226176000.0,koha_consulta
Current topics in computational molecular biology.,"Jiang, Tao",9780262100922.0,koha
Robot hands and the mechanics of manipulation.,"Mason, Matthew T.",9780262132053.0,koha
Cellular automata machines :,"Toffoli, Tommaso",9780262200608.0,koha
Using OpenMP :,"Chapman, Barbara",9780262533027.0,koha
MPI The complete reference :,"Gropp, William",9780262571234.0,koha
Using MPI :,"Gropp, William",9780262571340.0,koha
MPI The complete reference :,"Snir, Marc",9780262692151.0,koha
Digital electronics and laboratory computer experiments.,"Wilkins, Charles L.",9780306308222.0,koha
Biomaterials :,"Park, Joon Bu",9780306401039.0,koha
Biomaterials :,"Park, Joon Bu",9780306401039.0,koha_consulta
Biological effects and health implications of radiofrequency radiation.,"Michaelson, Sol M.",9780306415807.0,koha
Biocompatibility of Co-Cr-Ni alloys :,"Hildebrand, Hartmut F.",9780306430954.0,koha
Why does E=mc2? :,"Cox, Brian",9780306818769.0,koha_consulta
OpenGL® programming guide :,"Shreiner, Dave",9780321481009.0,koha
The C++  programming language / ,"Stroustrup, Bjarne",9780321563842.0,koha_consulta
The C++  programming language / ,"Stroustrup, Bjarne",9780321563842.0,koha
Human physiology :,"Silverthorn, Dee Unglaub",9780321600615.0,koha_consulta
"Fundamentals of general, organic, and biological chemistry.","McMurry, John",9780321750839.0,koha
Chemistry :,"Timberlake, Karen C.",9780321750839.0,koha
OpenGL® programming guide :,"Shreiner, Dave",9780321773036.0,koha_consulta
"Study guide and full solutions manual [for] Fundamentals of general, organic and biological chemistry. 7th. ed.","McMurry, Susan E.",9780321776167.0,koha_consulta
ECGs made easy :,"Aehlert, Barbara",9780323014335.0,koha
Mosby's Respiratory care equipment.,"Cairo, J.M.",9780323096218.0,koha_consulta
Railway management and engineering /,"Profillidis, V. A.",9780367027971.0,koha_consulta
Railway transportation systems :,"Pyrgidis, Christos N.",9780367027971.0,koha_consulta
Capillarity and wetting phenomena.,"Gennes, Pierre-Gilles de",9780387005928.0,koha_consulta
Manual of clinical dialysis.,"Ahmad, Suhail",9780387096506.0,koha
The beauty of fractals: :,"Peitgen, H. O.",9780387158518.0,koha
Modeling biological systems :,"Haefner, James W.",9780387250113.0,koha
Modeling biological systems :,"Haefner, James W.",9780387250113.0,koha_consulta
Handbook of biological confocal microscopy.,"Pawley, James B.",9780387259215.0,koha
Nonlinear differential equations and dynamical systems.,"Verhulst, Ferdinand",9780387506289.0,koha
Mathematical biology.,"Murray, J. D.",9780387572048.0,koha
Applications of centre manifold theory.,"Carr, Jack",9780387905778.0,koha
Biodynamics :,"Fung, Y.C.",9780387908670.0,koha
Chaos :,"Alligood, Kathleen T.",9780387946771.0,koha
Modeling dynamic biological systems /,"Hannon, Bruce",9780387948508.0,koha
Mechanics and control of robots.,"Gupta, Krishna C.",9780387949239.0,koha
Modeling and simulation in medicine and the life sciences.,"Hoppensteadt, Frank C.",9780387950723.0,koha
Mathematical biology :,"Murray, J.D.",9780387952239.0,koha
Cochlear implants :,"Clark, Graeme",9780387955834.0,koha_consulta
Elementary stability and bifurcation theory.,"Iooss, Gérard",9780387970684.0,koha
Nonlinear dynamical control systems.,"Nijmeijer, Henk",9780387972343.0,koha
Analysis and simulation of chaotic systems.,"Hoppensteadt, Frank C.",9780387979168.0,koha
"Integral, probability, and fractal measures.","Edgar, Gerald A.",9780387982052.0,koha
Analysis of observed chaotic data /,"Abarbanel, H. D. I",9780387983721.0,koha
Clinical decision support systems :,"Berner, Eta S.",9780387985756.0,koha
Biomaterials science and biocompatibility.,"Silver, Frederick H.",9780387987118.0,koha_consulta
Numerical optimization.,"Nocedal, Jorge",9780387987934.0,koha_consulta
Human body dynamics :,"Tözeren, Aydin",9780387988016.0,koha_consulta
Mathematical models in biology.,"Edelstein-Keshet, Leah",9780394355078.0,koha
Signals in linear circuits.,"Cruz, José B.",9780395169711.0,koha
Signals in linear circuits :,"Cruz, José B.",9780395178386.0,koha
Medical instrumentation :,"Webster, John G.",9780395254110.0,koha
Anatomical guide for the electromyographer :,"Perotto, Aldo",9780398059002.0,koha
Biomedical device technology :,"Chan, Anthony Y. K.",9780398077006.0,koha_consulta
Statistics for long-memory processes.,"Beran, Jan",9780412049019.0,koha
Stable non-gaussian ramdom processes :,"Samorodnitsky, Gennady",9780412051715.0,koha
The physiological basis of behaviour :,"Silber, Kevin",9780415186544.0,koha_consulta
Critical path precedence networks :,"Bennett, F. Lawrence",9780442121907.0,koha
Principles of neural science.,"Kandel, Eric R.",9780444009449.0,koha_consulta
Biological and biomechanical performance of biomaterials :,"Christel, P.",9780444426666.0,koha
Perspectives on biomaterials :,"Lin, O.C.C.",9780444426727.0,koha
Biomaterials and clinical applications :,"Pizzoferrato, A.",9780444428837.0,koha
Surface characterization of biomaterials :,"Ratner, B.D.",9780444430168.0,koha_consulta
Implant materials in biofunction :,"De Putter, C.",9780444430274.0,koha_consulta
NMR Spectroscopy in pharmaceutical analysis.,"Holzgrabe, Ulrike",9780444531735.0,koha_consulta
Clinical implant materials :,"Heimke, G.",9780444882264.0,koha_consulta
Six easy pieces :,"Feynman, Richard P.",9780465025275.0,koha_consulta
Introduction to computational chemistry.,"Jensen, Frank",9780470011874.0,koha
Medicinal chemistry.,"Thomas, Gareth",9780470025987.0,koha_consulta
The essential guide to user interface design :,"Galitz, Wilbert O.",9780470053423.0,koha_consulta
Essentials of computational chemistry :,"Cramer, Christopher J.",9780470091821.0,koha
Biomechanics and motor control of human movement.,"Winter, David A.",9780470398180.0,koha_consulta
"Cardiac pacing, defibrillation and resynchronization.","Hayes, David L.",9780470658338.0,koha_consulta
Introduction to pharmaceutical chemical analysis.,"Hansen, Steen",9780470661222.0,koha
From genes to genomes :,"Dale, Jeremy W.",9780470683866.0,koha_consulta
Molecular genetics of bacteria.,"Dale, Jeremy W.",9780470741856.0,koha
Molecular genetics of bacteria.,"Dale, Jeremy W.",9780470741856.0,koha_consulta
Physical biochemistry :,"Sheehan, David",9780470856031.0,koha
Bioinformatics software engineering :,"Weston, Paul",9780470857724.0,koha
Digital signal processing using MATLAB for students and researchers /,"Leis, John,",9780470880913.0,koha_consulta
Calculus :,"Hilbert, Stephen",9780471003168.0,koha
Introduction to semiconductor physics.,"Adler, R.B.",9780471008873.0,koha_consulta
Multivariate statistics: :,"Eaton, Morris L.",9780471027768.0,koha
An introduction to mathematical modeling.,"Bender, Edward A.",9780471029519.0,koha
Computer methods in image analysis.,"Aggarwal, J. K.",9780471031123.0,koha
Linear control systems :,"Rowland, James R.",9780471032762.0,koha
Membrane structure and function.,"Bittar, E. Edward",9780471038160.0,koha_consulta
The scientist as editor :,"O´Connor, Maeve",9780471049326.0,koha
Sensory aids for the hearing impaired.,"Levitt, Harry",9780471084365.0,koha
Radiology of the emergency patient :,"Greenbaum, Edward I.",9780471085621.0,koha
Radiology of the emergency patient :,"Greenbaum, Edward I.",9780471085621.0,koha_consulta
The mathematical modeling of metabolic and endocrine systems: :,"Cobelli, Claudio",9780471086604.0,koha
The measure of man and woman.,"Tilley, Alvin R.",9780471099550.0,koha_consulta
Clinical applications of biomaterials.,"Lee, A.J.C.",9780471104032.0,koha
Medical instrumentation :,"Webster, John G.",9780471153689.0,koha
A complete introduction to modern NMR spectroscopy.,"Macomber, Roger S.",9780471157366.0,koha
Biomedical signal analysis :,"Rangayyan, Rangaraj M.",9780471208112.0,koha_consulta
Design details for health :,"Leibrock, Cynthia A.",9780471241942.0,koha_consulta
Occupational biomechanics.,"Chaffin, Don B.",9780471246978.0,koha_consulta
Practical digital design using ICs.,"Greenfield, Joseph D.",9780471325055.0,koha
HPLC Methods for pharmaceutical analysis :,"Lunn, George",9780471331919.0,koha_consulta
Burger's medicinal chemistry and drug discovery :,"Abraham, Donald J.",9780471370284.0,koha_consulta
Robust statistics.,"Huber, Peter J.",9780471418054.0,koha
Bioinformatics :,"Baxevanis, Andreas D.",9780471478782.0,koha
Biomechanics and motor control of human movement.,"Winter, David A.",9780471509080.0,koha_consulta
Electromagnetic wave theory.,"Kong, Jin Au",9780471522140.0,koha
Chaotic and fractal dynamics :,"Moon, F. C.,",9780471545712.0,koha_consulta
Fuzzy logic for the management of uncertainty.,"Zadeh, Lotfi A.",9780471547990.0,koha
Low-noise electronic system design.,"Motchenbacher, C.D.",9780471577423.0,koha_consulta
Low-noise electronic system design.,"Motchenbacher, C.D.",9780471577423.0,koha
Ultrasonic bioinstrumentation.,"Christensen, Douglas A.",9780471604969.0,koha
Principles of bioinstrumentation.,"Normann, Richard A.",9780471605140.0,koha
Principles of applied biomedical instrumentation.,"Geddes, L.A.",9780471608998.0,koha
Robot dynamics and control.,"Spong, Mark W.",9780471612438.0,koha
Linear systems.,"Sinha, Naresh K.",9780471623410.0,koha
RF/Microwave interaction with biological tissues /,"Vorst, A. vander",9780471732778.0,koha_consulta
Problems of randomness in communication engineering :,"Cattermole, Kenneth W.",9780471807636.0,koha
Optimisation methods in electronics and communications :,"Cattermole, Kenneth W.",9780471807650.0,koha
Light scattering in magnetic solids.,"Cottam, Michael G.",9780471817017.0,koha_consulta
Light scattering in magnetic solids.,"Cottam, Michael G.",9780471817017.0,koha
Electronic wave forming and processing circuits.,"Chiang, Hai Hung",9780471828266.0,koha
"Linear control systems:modeling, analysis and design.","Rowland, James R.",9780471843061.0,koha
Electronics:circuits and devices.,"Smith, Ralph J.",9780471844464.0,koha
Biomechanics and exercise physiology.,"Johnson, Arthur",9780471853985.0,koha_consulta
Process dynamics and control.,"Seborg, Dale E.",9780471863892.0,koha
Mathematical methods in medicine: :,"Ingram, D.",9780471900450.0,koha
Mathematical methods in medicine: :,"Ingram, D.",9780471900467.0,koha
Handbook of electromedicine :,"Pätzold, Johannes",9780471904076.0,koha_consulta
Handbook of electromedicine :,"Pätzold, Johannes",9780471904076.0,koha
The mathematics of computerized tomography.,"Natterer, Frank",9780471909590.0,koha
Nonlinear dynamics and chaos :,"Thompson, J. M. T.",9780471909606.0,koha
Practical high-performance liquid chromatography.,"Meyer, Veronika R.",9780471911401.0,koha
Fractal geometry :,"Falconer, Kenneth",9780471922872.0,koha
Cleanroom design.,"Whyte, W.",9780471942047.0,koha
Nonlinearity and chaos in engineering dynamics.,"Thompson, J. M. T.",9780471944584.0,koha
Control system design :,"Friedland, Bernard",9780486442785.0,koha
Introduction to partial differential equations with applications.,"Zachmanoglou, E.C.",9780486652511.0,koha_consulta
"Vectors, tensors, and the basic equations of fluid mechanics.","Aris, Rutherford",9780486661100.0,koha
Partial differential equations for scientists and engineers.,"Farlow, Stanley J.",9780486676203.0,koha_consulta
Mathematical foundations of elasticity.,"Marsden, Jerrold E.",9780486678658.0,koha_consulta
Fluid mechanics.,"Granger, Robert Alan",9780486683560.0,koha
Mecánica de fluidos.,"Potter, Merle C.",9780495667735.0,koha
Mecánica de fluidos.,"Potter, Merle C.",9780495667735.0,koha_consulta
The science and engineering of materials.,"Askeland, Donald R.",9780495668022.0,koha_consulta
Elements of classical thermodynamics :,"Pippard, A.B.",9780521091015.0,koha_consulta
Elements of classical thermodynamics :,"Pippard, A.B.",9780521091015.0,koha
The fluid mechanics of large blood vessels.,"Pedley, T.J.",9780521226264.0,koha
Modeling dynamic phenomena in molecular and cellular biology.,"Segel, Lee A.",9780521274777.0,koha
English grammar in use :,"Murphy, Raymond",9780521287234.0,koha
Waves in fluids.,"Lighthill, James",9780521292337.0,koha_consulta
Light and electron microscopy.,"Slayter, Elizabeth M.",9780521339483.0,koha
Essential grammar in use :,"Murphy, Raymond",9780521357708.0,koha
Chaotic evolution and strange attractors :,"Ruelle, David.",9780521368308.0,koha_consulta
Nonlinear systems.,"Drazin, P.G.",9780521406680.0,koha_consulta
Introduction to biomedical instrumentation :,"Christe, Barbara L.",9780521515122.0,koha_consulta
Biodesign :,"Zenios, Stefanos",9780521517423.0,koha_consulta
Parallel scientific computing in C++ and MPI :,"Karniadakis, George M.",9780521520805.0,koha
Fourier and Laplace transforms.,"Beerends, R.J.",9780521534413.0,koha_consulta
Computational methods transport phenomena :,"Schiesser, W.E.",9780521556538.0,koha_consulta
Biological sequence analysis :,"Durbin, Richard",9780521629713.0,koha
Advanced transport phenomena.,"Slattery, John C.",9780521632034.0,koha
An introduction to fluid dynamics.,"Batchelor, G.K.",9780521663960.0,koha
A student's guide to Maxwell's equations.,"Fleisch, Daniel",9780521701471.0,koha_consulta
Modelling differential equations in biology.,"Taubes, Clifford Henry",9780521708432.0,koha_consulta
Term rewriting and all that.,"Baader, Franz",9780521779203.0,koha
Biological thermodynamics.,"Haynie, Donald T.",9780521795494.0,koha
